Id,UTC,UTCMilliseconds,PCLocalTime,channelMap,startSample,startSeconds,duration,lowFreq,highFreq,amplitude,detectionType,bearingAmbiguity,bearing0,ClickNumber,SpeciesCode
1194128,2012/07/12 07:42,675,12-Jul-12,2,7201786,600.1488333,1024,3500,4500,160.5418456,,FALSE,,17077,1
1194129,2012/07/12 07:42,689,12-Jul-12,4,7201965,600.16375,1024,3500,4500,153.9840312,,FALSE,,17078,1
1194130,2012/07/12 07:42,852,12-Jul-12,2,7203910,600.3258333,500,3500,4500,155.0525774,,FALSE,,17079,1
1194131,2012/07/12 07:42,876,12-Jul-12,2,7204209,600.35075,458,3500,4500,152.9384248,,FALSE,,17080,1
1194132,2012/07/12 07:42,799,12-Jul-12,8,7203277,600.2730833,477,3500,4500,156.1988148,,FALSE,,17081,1
1194127,2012/07/12 07:42,778,12-Jul-12,1,7203033,600.25275,524,3500,4500,158.6037615,,FALSE,,17076,1
1194161,2012/07/12 07:42,976,12-Jul-12,4,7217402,601.4501667,561,3500,4500,152.8412448,,FALSE,,17110,1
1194148,2012/07/12 07:42,621,12-Jul-12,2,7213142,601.0951667,492,3500,4500,153.7886782,,FALSE,,17097,1
1194149,2012/07/12 07:42,616,12-Jul-12,4,7213078,601.0898333,471,3500,4500,150.4133651,,FALSE,,17098,1
1194151,2012/07/12 07:42,586,12-Jul-12,8,7212728,601.0606667,1024,3500,4500,160.7779577,,FALSE,,17100,1
1194153,2012/07/12 07:42,575,12-Jul-12,16,7212596,601.0496667,1024,3500,4500,173.8246248,,FALSE,,17102,1
1194154,2012/07/12 07:42,750,12-Jul-12,4,7214691,601.22425,487,3500,4500,153.52575,,FALSE,,17103,1
1194155,2012/07/12 07:42,772,12-Jul-12,4,7214959,601.2465833,499,3500,4500,152.4517715,,FALSE,,17104,1
1194156,2012/07/12 07:42,691,12-Jul-12,8,7213984,601.1653333,509,3500,4500,162.0232478,,FALSE,,17105,1
1194147,2012/07/12 07:42,600,12-Jul-12,2,7212889,601.0740833,495,3500,4500,154.5329124,,FALSE,,17096,1
1194160,2012/07/12 07:42,934,12-Jul-12,4,7216897,601.4080833,469,3500,4500,153.711548,,FALSE,,17109,1
1194150,2012/07/12 07:42,661,12-Jul-12,4,7213629,601.13575,458,3500,4500,150.0884906,,FALSE,,17099,1
1194162,2012/07/12 07:42,921,12-Jul-12,8,7216744,601.3953333,1024,3500,4500,166.017041,,FALSE,,17111,1
1194159,2012/07/12 07:42,581,12-Jul-12,32,7212658,601.0548333,1024,3500,4500,160.9948851,,FALSE,,17108,1
1194135,2012/07/12 07:42,76,12-Jul-12,4,7206601,600.5500833,491,3500,4500,152.4362118,,FALSE,,17084,1
1194152,2012/07/12 07:42,668,12-Jul-12,8,7213707,601.14225,474,3500,4500,162.0232478,,FALSE,,17101,1
1194134,2012/07/12 07:42,55,12-Jul-12,4,7206356,600.5296667,466,3500,4500,152.4362118,,FALSE,,17083,1
1194146,2012/07/12 07:42,587,12-Jul-12,1,7212733,601.0610833,1024,3500,4500,161.1045515,,FALSE,,17095,1
1194136,2012/07/12 07:42,258,12-Jul-12,8,7208787,600.73225,474,3500,4500,155.5661591,,FALSE,,17085,1
1194137,2012/07/12 07:42,280,12-Jul-12,8,7209057,600.75475,493,3500,4500,155.5661591,,FALSE,,17086,1
1194138,2012/07/12 07:42,244,12-Jul-12,16,7208624,600.7186667,534,3500,4500,164.2938119,,FALSE,,17087,1
1194139,2012/07/12 07:42,268,12-Jul-12,16,7208905,600.7420833,883,3500,4500,163.4907886,,FALSE,,17088,1
