Id,UTC,UTCMilliseconds,PCLocalTime,channelMap,startSample,startSeconds,duration,lowFreq,highFreq,amplitude,detectionType,bearingAmbiguity,bearing0,ClickNumber,SpeciesCode
74977,2012/06/25 11:27,852,25-Jun-12,8,7213011,601.08425,929,3500,4500,143.3828505,,FALSE,,11154,1
74961,2012/06/25 11:27,122,25-Jun-12,1,7204252,600.3543333,464,3500,4500,136.3573394,,FALSE,,11138,1
74984,2012/06/25 11:27,950,25-Jun-12,32,7214184,601.182,472,3500,4500,138.386539,,FALSE,,11161,1
74983,2012/06/25 11:27,935,25-Jun-12,16,7214011,601.1675833,926,3500,4500,142.0635688,,FALSE,,11160,1
74982,2012/06/25 11:27,931,25-Jun-12,8,7213963,601.1635833,1024,3500,4500,147.0981678,,FALSE,,11159,1
74981,2012/06/25 11:27,939,25-Jun-12,4,7214059,601.1715833,1024,3500,4500,141.8559064,,FALSE,,11158,1
74980,2012/06/25 11:27,953,25-Jun-12,2,7214221,601.1850833,949,3500,4500,139.3996222,,FALSE,,11157,1
74978,2012/06/25 11:27,854,25-Jun-12,16,7213041,601.08675,901,3500,4500,140.0903563,,FALSE,,11155,1
74976,2012/06/25 11:27,846,25-Jun-12,4,7212944,601.0786667,958,3500,4500,140.7145954,,FALSE,,11153,1
74975,2012/06/25 11:27,834,25-Jun-12,2,7212797,601.0664167,1000,3500,4500,152.1262788,,FALSE,,11152,1
74974,2012/06/25 11:27,835,25-Jun-12,1,7212805,601.0670833,985,3500,4500,150.1140487,,FALSE,,11151,1
74965,2012/06/25 11:27,103,25-Jun-12,8,7204027,600.3355833,919,3500,4500,144.0405146,,FALSE,,11142,1
74962,2012/06/25 11:27,141,25-Jun-12,1,7204474,600.3728333,489,3500,4500,136.3573394,,FALSE,,11139,1
74979,2012/06/25 11:27,851,25-Jun-12,32,7212998,601.0831667,885,3500,4500,143.0732258,,FALSE,,11156,1
74964,2012/06/25 11:27,113,25-Jun-12,4,7204138,600.3448333,908,3500,4500,136.6055795,,FALSE,,11141,1
74973,2012/06/25 11:27,638,25-Jun-12,4,7210444,600.8703333,878,3500,4500,135.4522126,,FALSE,,11150,1
74966,2012/06/25 11:27,104,25-Jun-12,16,7204034,600.3361667,918,3500,4500,145.1620129,,FALSE,,11143,1
74967,2012/06/25 11:27,115,25-Jun-12,32,7204163,600.3469167,842,3500,4500,140.8019817,,FALSE,,11144,1
74968,2012/06/25 11:27,359,25-Jun-12,2,7207090,600.5908333,956,3500,4500,140.4117098,,FALSE,,11145,1
74969,2012/06/25 11:27,361,25-Jun-12,4,7207124,600.5936667,672,3500,4500,135.2644605,,FALSE,,11146,1
74970,2012/06/25 11:27,532,25-Jun-12,1,7209175,600.7645833,986,3500,4500,138.6568483,,FALSE,,11147,1
74972,2012/06/25 11:27,674,25-Jun-12,2,7210873,600.9060833,512,3500,4500,136.6957505,,FALSE,,11149,1
74963,2012/06/25 11:27,125,25-Jun-12,2,7204291,600.3575833,738,3500,4500,137.3840715,,FALSE,,11140,1
74995,2012/06/25 11:27,335,25-Jun-12,8,7218806,601.5671667,1006,3500,4500,145.1157006,,FALSE,,11172,1
74986,2012/06/25 11:27,107,25-Jun-12,1,7216069,601.3390833,888,3500,4500,150.4051547,,FALSE,,11163,1
75004,2012/06/25 11:27,869,25-Jun-12,2,7225219,602.1015833,497,3500,4500,135.417572,,FALSE,,11181,1
75003,2012/06/25 11:27,766,25-Jun-12,2,7223981,601.9984167,511,3500,4500,137.2798133,,FALSE,,11180,1
75000,2012/06/25 11:27,495,25-Jun-12,1,7220728,601.7273333,905,3500,4500,147.0383469,,FALSE,,11177,1
74999,2012/06/25 11:27,478,25-Jun-12,32,7220522,601.7101667,951,3500,4500,166.1457464,,FALSE,,11176,1
74998,2012/06/25 11:27,486,25-Jun-12,16,7220625,601.71875,916,3500,4500,152.2896691,,FALSE,,11175,1
74997,2012/06/25 11:27,500,25-Jun-12,8,7220791,601.7325833,794,3500,4500,141.2626667,,FALSE,,11174,1
74996,2012/06/25 11:27,339,25-Jun-12,16,7218853,601.5710833,713,3500,4500,138.7464647,,FALSE,,11173,1
74985,2012/06/25 11:27,17,25-Jun-12,16,7214994,601.2495,677,3500,4500,137.3111591,,FALSE,,11162,1
74993,2012/06/25 11:27,357,25-Jun-12,2,7219074,601.5895,475,3500,4500,136.2388991,,FALSE,,11170,1
74992,2012/06/25 11:27,290,25-Jun-12,16,7218268,601.5223333,493,3500,4500,135.2815852,,FALSE,,11169,1
74991,2012/06/25 11:27,122,25-Jun-12,32,7216254,601.3545,669,3500,4500,140.23116,,FALSE,,11168,1
74990,2012/06/25 11:27,108,25-Jun-12,16,7216085,601.3404167,977,3500,4500,143.7334658,,FALSE,,11167,1
74989,2012/06/25 11:27,105,25-Jun-12,8,7216043,601.3369167,1012,3500,4500,148.8427908,,FALSE,,11166,1
74987,2012/06/25 11:27,115,25-Jun-12,2,7216169,601.3474167,701,3500,4500,143.983265,,FALSE,,11164,1
74994,2012/06/25 11:27,342,25-Jun-12,4,7218895,601.5745833,977,3500,4500,139.1388499,,FALSE,,11171,1
74988,2012/06/25 11:27,112,25-Jun-12,4,7216134,601.3445,983,3500,4500,141.8421215,,FALSE,,11165,1
75017,2012/06/25 11:27,789,25-Jun-12,2,7236259,603.0215833,676,3500,4500,136.4859107,,FALSE,,11194,1
75019,2012/06/25 11:27,725,25-Jun-12,8,7235489,602.9574167,1024,3500,4500,142.8538659,,FALSE,,11196,1
75020,2012/06/25 11:27,728,25-Jun-12,16,7235522,602.9601667,1024,3500,4500,143.7169865,,FALSE,,11197,1
75021,2012/06/25 11:27,725,25-Jun-12,32,7235482,602.9568333,1024,3500,4500,156.4471262,,FALSE,,11198,1
75022,2012/06/25 11:27,903,25-Jun-12,1,7237622,603.1351667,461,3500,4500,140.2033316,,FALSE,,11199,1
75023,2012/06/25 11:27,826,25-Jun-12,2,7236697,603.0580833,507,3500,4500,136.0607807,,FALSE,,11200,1
75026,2012/06/25 11:27,843,25-Jun-12,8,7236907,603.0755833,1024,3500,4500,147.7544506,,FALSE,,11203,1
75016,2012/06/25 11:27,707,25-Jun-12,2,7235273,602.9394167,1024,3500,4500,150.951893,,FALSE,,11193,1
75015,2012/06/25 11:27,708,25-Jun-12,1,7235281,602.9400833,1024,3500,4500,152.4571631,,FALSE,,11192,1
75027,2012/06/25 11:27,847,25-Jun-12,16,7236954,603.0795,967,3500,4500,143.9551069,,FALSE,,11204,1
75008,2012/06/25 11:27,163,25-Jun-12,8,7228749,602.39575,916,3500,4500,143.3681146,,FALSE,,11185,1
75014,2012/06/25 11:27,544,25-Jun-12,32,7233313,602.7760833,779,3500,4500,141.0090613,,FALSE,,11191,1
75007,2012/06/25 11:27,167,25-Jun-12,4,7228793,602.3994167,889,3500,4500,137.7614866,,FALSE,,11184,1
75009,2012/06/25 11:27,173,25-Jun-12,16,7228861,602.4050833,880,3500,4500,138.9280506,,FALSE,,11186,1
75010,2012/06/25 11:27,555,25-Jun-12,2,7233448,602.7873333,498,3500,4500,136.2936497,,FALSE,,11187,1
75011,2012/06/25 11:27,542,25-Jun-12,4,7233289,602.7740833,735,3500,4500,135.3452335,,FALSE,,11188,1
75012,2012/06/25 11:27,533,25-Jun-12,8,7233178,602.7648333,929,3500,4500,143.8401788,,FALSE,,11189,1
75018,2012/06/25 11:27,719,25-Jun-12,4,7235417,602.9514167,1024,3500,4500,141.6398336,,FALSE,,11195,1
75013,2012/06/25 11:27,533,25-Jun-12,16,7233187,602.7655833,847,3500,4500,141.9573143,,FALSE,,11190,1
75005,2012/06/25 11:27,183,25-Jun-12,1,7228985,602.4154167,847,3500,4500,140.2141959,,FALSE,,11182,1
75006,2012/06/25 11:27,181,25-Jun-12,2,7228956,602.413,758,3500,4500,136.8467087,,FALSE,,11183,1
75043,2012/06/25 11:27,957,25-Jun-12,2,7250275,604.1895833,1024,3500,4500,138.695243,,FALSE,,11220,1
75036,2012/06/25 11:27,294,25-Jun-12,32,7242318,603.5265,882,3500,4500,143.8588746,,FALSE,,11213,1
75045,2012/06/25 11:27,998,25-Jun-12,8,7250769,604.23075,1024,3500,4500,145.9296278,,FALSE,,11222,1
75041,2012/06/25 11:27,990,25-Jun-12,1,7250669,604.2224167,476,3500,4500,139.3280896,,FALSE,,11218,1
75040,2012/06/25 11:27,811,25-Jun-12,16,7248518,604.0431667,824,3500,4500,138.7727515,,FALSE,,11217,1
75039,2012/06/25 11:27,807,25-Jun-12,8,7248473,604.0394167,1024,3500,4500,142.8789346,,FALSE,,11216,1
75038,2012/06/25 11:27,814,25-Jun-12,4,7248558,604.0465,1024,3500,4500,141.3119916,,FALSE,,11215,1
75037,2012/06/25 11:27,828,25-Jun-12,2,7248726,604.0605,806,3500,4500,138.8207359,,FALSE,,11214,1
75034,2012/06/25 11:27,287,25-Jun-12,8,7242233,603.5194167,887,3500,4500,141.2048494,,FALSE,,11211,1
75033,2012/06/25 11:27,312,25-Jun-12,4,7242531,603.54425,468,3500,4500,132.9747005,,FALSE,,11210,1
75032,2012/06/25 11:27,302,25-Jun-12,1,7242411,603.53425,706,3500,4500,139.7620636,,FALSE,,11209,1
75031,2012/06/25 11:27,154,25-Jun-12,1,7240641,603.38675,906,3500,4500,140.4132714,,FALSE,,11208,1
75030,2012/06/25 11:27,50,25-Jun-12,16,7239389,603.2824167,823,3500,4500,141.0514991,,FALSE,,11207,1
75029,2012/06/25 11:27,49,25-Jun-12,8,7239379,603.2815833,912,3500,4500,143.4104279,,FALSE,,11206,1
75028,2012/06/25 11:27,61,25-Jun-12,4,7239514,603.2928333,703,3500,4500,134.2972883,,FALSE,,11205,1
75035,2012/06/25 11:27,284,25-Jun-12,16,7242194,603.5161667,950,3500,4500,152.5281469,,FALSE,,11212,1
75053,2012/06/25 11:28,760,25-Jun-12,4,7259906,604.9921667,468,3500,4500,133.248838,,FALSE,,11230,1
75044,2012/06/25 11:28,7,25-Jun-12,4,7250866,604.2388333,988,3500,4500,139.8902452,,FALSE,,11221,1
75054,2012/06/25 11:28,900,25-Jun-12,4,7261587,605.13225,463,3500,4500,133.3832273,,FALSE,,11231,1
75052,2012/06/25 11:28,460,25-Jun-12,4,7256306,604.6921667,662,3500,4500,133.5909644,,FALSE,,11229,1
75051,2012/06/25 11:28,459,25-Jun-12,2,7256301,604.69175,654,3500,4500,136.5550827,,FALSE,,11228,1
75050,2012/06/25 11:28,345,25-Jun-12,4,7254926,604.5771667,466,3500,4500,133.2017844,,FALSE,,11227,1
