Id,UTC,UTCMilliseconds,PCLocalTime,channelMap,startSample,startSeconds,duration,lowFreq,highFreq,amplitude,detectionType,bearingAmbiguity,bearing0,ClickNumber,SpeciesCode
1741973,2012/09/21 06:53,871,21-Sep-12,1,7200510,600.0425,519,3500,4500,154.680969,,FALSE,,14427,1
1741974,2012/09/21 06:53,856,21-Sep-12,2,7200327,600.02725,798,3500,4500,147.2993875,,FALSE,,14428,1
1741975,2012/09/21 06:53,867,21-Sep-12,16,7200460,600.0383333,505,3500,4500,149.7773628,,FALSE,,14429,1
1741976,2012/09/21 06:53,901,21-Sep-12,1,7200862,600.0718333,478,3500,4500,154.1455656,,FALSE,,14430,1
1741977,2012/09/21 06:53,906,21-Sep-12,2,7200928,600.0773333,514,3500,4500,146.4655598,,FALSE,,14431,1
1741978,2012/09/21 06:53,888,21-Sep-12,16,7200712,600.0593333,543,3500,4500,149.7773628,,FALSE,,14432,1
1741979,2012/09/21 06:53,917,21-Sep-12,16,7201058,600.0881667,533,3500,4500,148.0367354,,FALSE,,14433,1
1741972,2012/09/21 06:53,851,21-Sep-12,1,7200264,600.022,480,3500,4500,154.680969,,FALSE,,14426,1
1741983,2012/09/21 06:53,353,21-Sep-12,2,7206295,600.5245833,747,3500,4500,145.3688834,,FALSE,,14437,1
1741989,2012/09/21 06:53,998,21-Sep-12,16,7214031,601.16925,1019,3500,4500,150.0320738,,FALSE,,14443,1
1741988,2012/09/21 06:53,865,21-Sep-12,2,7212431,601.0359167,817,3500,4500,146.2942947,,FALSE,,14442,1
1741987,2012/09/21 06:53,773,21-Sep-12,8,7211327,600.9439167,497,3500,4500,148.8642757,,FALSE,,14441,1
1741986,2012/09/21 06:53,518,21-Sep-12,4,7208272,600.6893333,470,3500,4500,144.027992,,FALSE,,14440,1
1741984,2012/09/21 06:53,367,21-Sep-12,4,7206458,600.5381667,458,3500,4500,143.0175729,,FALSE,,14438,1
1741990,2012/09/21 06:53,993,21-Sep-12,32,7213966,601.1638333,1024,3500,4500,158.242481,,FALSE,,14444,1
1741982,2012/09/21 06:53,239,21-Sep-12,16,7204922,600.4101667,483,3500,4500,145.8686731,,FALSE,,14436,1
1741981,2012/09/21 06:53,228,21-Sep-12,2,7204788,600.399,549,3500,4500,146.2043401,,FALSE,,14435,1
1741980,2012/09/21 06:53,222,21-Sep-12,1,7204717,600.3930833,516,3500,4500,152.8093692,,FALSE,,14434,1
1741985,2012/09/21 06:53,305,21-Sep-12,8,7205710,600.4758333,507,3500,4500,148.4220606,,FALSE,,14439,1
1741996,2012/09/21 06:53,482,21-Sep-12,8,7219834,601.6528333,1024,3500,4500,153.267764,,FALSE,,14450,1
1742000,2012/09/21 06:53,930,21-Sep-12,2,7225218,602.1015,935,3500,4500,150.6167086,,FALSE,,14454,1
1741999,2012/09/21 06:53,904,21-Sep-12,2,7224900,602.075,545,3500,4500,150.6167086,,FALSE,,14453,1
1741998,2012/09/21 06:53,496,21-Sep-12,32,7220003,601.6669167,735,3500,4500,151.6196997,,FALSE,,14452,1
1741997,2012/09/21 06:53,469,21-Sep-12,16,7219679,601.6399167,1024,3500,4500,158.3885265,,FALSE,,14451,1
1741995,2012/09/21 06:53,516,21-Sep-12,4,7220243,601.6869167,478,3500,4500,142.6066732,,FALSE,,14449,1
1741994,2012/09/21 06:53,494,21-Sep-12,4,7219984,601.6653333,461,3500,4500,142.6642609,,FALSE,,14448,1
1741993,2012/09/21 06:53,473,21-Sep-12,32,7219730,601.6441667,517,3500,4500,151.6196997,,FALSE,,14447,1
1741991,2012/09/21 06:53,242,21-Sep-12,8,7216964,601.4136667,992,3500,4500,153.4381618,,FALSE,,14445,1
1741992,2012/09/21 06:53,232,21-Sep-12,16,7216843,601.4035833,1024,3500,4500,159.9181862,,FALSE,,14446,1
1742016,2012/09/21 06:53,666,21-Sep-12,2,7234052,602.8376667,1024,3500,4500,153.144513,,FALSE,,14470,1
1742002,2012/09/21 06:53,269,21-Sep-12,2,7229285,602.4404167,522,3500,4500,142.293088,,FALSE,,14456,1
1742025,2012/09/21 06:53,664,21-Sep-12,4,7234023,602.83525,1024,3500,4500,152.1401723,,FALSE,,14479,1
1742024,2012/09/21 06:53,762,21-Sep-12,32,7235195,602.9329167,798,3500,4500,154.0004117,,FALSE,,14478,1
1742023,2012/09/21 06:53,724,21-Sep-12,32,7234742,602.8951667,700,3500,4500,154.0004117,,FALSE,,14477,1
1742022,2012/09/21 06:53,696,21-Sep-12,32,7234408,602.8673333,492,3500,4500,149.7424834,,FALSE,,14476,1
1742021,2012/09/21 06:53,726,21-Sep-12,16,7234762,602.8968333,1024,3500,4500,151.6493477,,FALSE,,14475,1
1742020,2012/09/21 06:53,700,21-Sep-12,16,7234453,602.8710833,492,3500,4500,147.2417973,,FALSE,,14474,1
1742018,2012/09/21 06:53,725,21-Sep-12,8,7234761,602.89675,756,3500,4500,158.4458896,,FALSE,,14472,1
1742017,2012/09/21 06:53,695,21-Sep-12,8,7234397,602.8664167,553,3500,4500,156.9352562,,FALSE,,14471,1
1742003,2012/09/21 06:53,194,21-Sep-12,16,7228381,602.3650833,570,3500,4500,156.1565419,,FALSE,,14457,1
1742004,2012/09/21 06:53,223,21-Sep-12,16,7228734,602.3945,904,3500,4500,155.5108463,,FALSE,,14458,1
1742015,2012/09/21 06:53,707,21-Sep-12,1,7234541,602.8784167,1024,3500,4500,172.9853815,,FALSE,,14469,1
1742001,2012/09/21 06:53,248,21-Sep-12,2,7229027,602.4189167,491,3500,4500,145.7090484,,FALSE,,14455,1
1742005,2012/09/21 06:53,185,21-Sep-12,32,7228273,602.3560833,1024,3500,4500,170.8392161,,FALSE,,14459,1
1742006,2012/09/21 06:53,403,21-Sep-12,8,7230890,602.5741667,933,3500,4500,154.6784007,,FALSE,,14460,1
1742007,2012/09/21 06:53,680,21-Sep-12,1,7234219,602.8515833,547,3500,4500,160.1169231,,FALSE,,14461,1
1742011,2012/09/21 06:53,667,21-Sep-12,8,7234058,602.8381667,488,3500,4500,154.0287406,,FALSE,,14465,1
1742013,2012/09/21 06:53,665,21-Sep-12,16,7234031,602.8359167,458,3500,4500,145.40893,,FALSE,,14467,1
1742042,2012/09/21 06:53,431,21-Sep-12,4,7243227,603.60225,458,3500,4500,144.3668324,,FALSE,,14496,1
1742053,2012/09/21 06:53,820,21-Sep-12,32,7247897,603.9914167,1024,3500,4500,156.4005422,,FALSE,,14507,1
1742047,2012/09/21 06:53,751,21-Sep-12,32,7247066,603.9221667,770,3500,4500,153.7071419,,FALSE,,14501,1
1742044,2012/09/21 06:53,511,21-Sep-12,16,7244182,603.6818333,1018,3500,4500,157.9988861,,FALSE,,14498,1
1742045,2012/09/21 06:53,761,21-Sep-12,8,7247185,603.9320833,506,3500,4500,154.347844,,FALSE,,14499,1
1742046,2012/09/21 06:53,782,21-Sep-12,8,7247437,603.9530833,504,3500,4500,154.347844,,FALSE,,14500,1
1742043,2012/09/21 06:53,521,21-Sep-12,8,7244311,603.6925833,895,3500,4500,154.91621,,FALSE,,14497,1
1742048,2012/09/21 06:53,811,21-Sep-12,1,7247788,603.9823333,1024,3500,4500,172.7115902,,FALSE,,14502,1
1742049,2012/09/21 06:53,823,21-Sep-12,2,7247930,603.9941667,1024,3500,4500,154.2528036,,FALSE,,14503,1
1742050,2012/09/21 06:53,821,21-Sep-12,4,7247906,603.9921667,1024,3500,4500,156.3783257,,FALSE,,14504,1
1742052,2012/09/21 06:53,746,21-Sep-12,16,7247011,603.9175833,1024,3500,4500,159.3107208,,FALSE,,14506,1
1742038,2012/09/21 06:53,355,21-Sep-12,16,7242313,603.5260833,469,3500,4500,145.2869193,,FALSE,,14492,1
1742041,2012/09/21 06:53,391,21-Sep-12,4,7242749,603.5624167,706,3500,4500,149.7805325,,FALSE,,14495,1
1742051,2012/09/21 06:53,815,21-Sep-12,8,7247838,603.9865,1024,3500,4500,164.7347328,,FALSE,,14505,1
1742031,2012/09/21 06:53,18,21-Sep-12,32,7238270,603.1891667,1024,3500,4500,157.0384193,,FALSE,,14485,1
1742040,2012/09/21 06:53,378,21-Sep-12,2,7242596,603.5496667,1024,3500,4500,157.0182212,,FALSE,,14494,1
1742027,2012/09/21 06:53,21,21-Sep-12,2,7238302,603.1918333,1024,3500,4500,156.5296331,,FALSE,,14481,1
1742030,2012/09/21 06:53,16,21-Sep-12,16,7238253,603.18775,1024,3500,4500,156.7985772,,FALSE,,14484,1
1742032,2012/09/21 06:53,273,21-Sep-12,1,7241333,603.4444167,1003,3500,4500,172.6647025,,FALSE,,14486,1
1742033,2012/09/21 06:53,290,21-Sep-12,2,7241532,603.461,758,3500,4500,146.157155,,FALSE,,14487,1
1742034,2012/09/21 06:53,289,21-Sep-12,4,7241525,603.4604167,953,3500,4500,154.0217296,,FALSE,,14488,1
1742035,2012/09/21 06:53,288,21-Sep-12,8,7241514,603.4595,489,3500,4500,153.7582477,,FALSE,,14489,1
1742036,2012/09/21 06:53,310,21-Sep-12,8,7241775,603.48125,471,3500,4500,152.5189785,,FALSE,,14490,1
1742037,2012/09/21 06:53,283,21-Sep-12,16,7241453,603.4544167,998,3500,4500,152.6770454,,FALSE,,14491,1
1742026,2012/09/21 06:53,9,21-Sep-12,1,7238161,603.1800833,1024,3500,4500,173.2597547,,FALSE,,14480,1
1742039,2012/09/21 06:53,281,21-Sep-12,32,7241427,603.45225,856,3500,4500,154.329773,,FALSE,,14493,1
1742029,2012/09/21 06:53,10,21-Sep-12,8,7238181,603.18175,1024,3500,4500,167.493589,,FALSE,,14483,1
1742058,2012/09/21 06:53,146,21-Sep-12,8,7251805,604.3170833,1024,3500,4500,157.3956171,,FALSE,,14512,1
1742062,2012/09/21 06:53,527,21-Sep-12,4,7256385,604.69875,759,3500,4500,146.0151564,,FALSE,,14516,1
1742068,2012/09/21 06:53,673,21-Sep-12,32,7258126,604.8438333,678,3500,4500,151.0892791,,FALSE,,14522,1
1742067,2012/09/21 06:53,650,21-Sep-12,32,7257861,604.82175,504,3500,4500,151.2686406,,FALSE,,14521,1
1742066,2012/09/21 06:53,609,21-Sep-12,2,7257358,604.7798333,590,3500,4500,145.6642241,,FALSE,,14520,1
1742065,2012/09/21 06:53,494,21-Sep-12,16,7255987,604.6655833,1024,3500,4500,155.676206,,FALSE,,14519,1
1742064,2012/09/21 06:53,517,21-Sep-12,8,7256254,604.6878333,913,3500,4500,157.325773,,FALSE,,14518,1
1742063,2012/09/21 06:53,495,21-Sep-12,8,7255999,604.6665833,499,3500,4500,155.0154427,,FALSE,,14517,1
1742061,2012/09/21 06:53,506,21-Sep-12,4,7256126,604.6771667,494,3500,4500,146.0151564,,FALSE,,14515,1
1742059,2012/09/21 06:53,516,21-Sep-12,2,7256249,604.6874167,487,3500,4500,145.3360954,,FALSE,,14513,1
1742057,2012/09/21 06:53,141,21-Sep-12,32,7251751,604.3125833,1024,3500,4500,158.9377816,,FALSE,,14511,1
1742056,2012/09/21 06:53,134,21-Sep-12,16,7251660,604.305,1024,3500,4500,167.0645443,,FALSE,,14510,1
1742055,2012/09/21 06:53,15,21-Sep-12,4,7250241,604.18675,491,3500,4500,143.9203696,,FALSE,,14509,1
1742054,2012/09/21 06:53,2,21-Sep-12,2,7250081,604.1734167,794,3500,4500,147.5484218,,FALSE,,14508,1
1742060,2012/09/21 06:53,538,21-Sep-12,2,7256507,604.7089167,1024,3500,4500,145.4045944,,FALSE,,14514,1
1742077,2012/09/21 06:53,725,21-Sep-12,2,7270760,605.8966667,519,3500,4500,146.5992762,,FALSE,,14531,1
1742069,2012/09/21 06:53,267,21-Sep-12,2,7265257,605.4380833,550,3500,4500,150.7628688,,FALSE,,14523,1
1742083,2012/09/21 06:53,817,21-Sep-12,4,7271856,605.988,458,3500,4500,142.766815,,FALSE,,14537,1
1742082,2012/09/21 06:53,791,21-Sep-12,4,7271548,605.9623333,461,3500,4500,143.6102239,,FALSE,,14536,1
1742081,2012/09/21 06:53,802,21-Sep-12,2,7271682,605.9735,770,3500,4500,145.1666463,,FALSE,,14535,1
1742080,2012/09/21 06:53,761,21-Sep-12,16,7271191,605.9325833,673,3500,4500,146.790317,,FALSE,,14534,1
1742079,2012/09/21 06:53,736,21-Sep-12,16,7270888,605.9073333,505,3500,4500,148.7160088,,FALSE,,14533,1
1742078,2012/09/21 06:53,750,21-Sep-12,2,7271061,605.92175,796,3500,4500,145.1666463,,FALSE,,14532,1
1742075,2012/09/21 06:53,718,21-Sep-12,1,7270675,605.8895833,530,3500,4500,156.1835355,,FALSE,,14529,1
1742074,2012/09/21 06:53,325,21-Sep-12,32,7265959,605.4965833,1016,3500,4500,158.8543648,,FALSE,,14528,1
1742073,2012/09/21 06:53,332,21-Sep-12,16,7266038,605.5031667,885,3500,4500,150.2609084,,FALSE,,14527,1
1742072,2012/09/21 06:53,345,21-Sep-12,8,7266191,605.5159167,512,3500,4500,148.9169376,,FALSE,,14526,1
1742070,2012/09/21 06:53,294,21-Sep-12,2,7265587,605.4655833,1024,3500,4500,150.7628688,,FALSE,,14524,1
1742076,2012/09/21 06:53,744,21-Sep-12,1,7270984,605.9153333,704,3500,4500,155.1102607,,FALSE,,14530,1
1742071,2012/09/21 06:53,304,21-Sep-12,4,7265700,605.475,495,3500,4500,144.6684778,,FALSE,,14525,1
1742113,2012/09/21 06:53,791,21-Sep-12,4,7283551,606.9625833,531,3500,4500,145.9486504,,FALSE,,14567,1
1742102,2012/09/21 06:53,556,21-Sep-12,2,7280725,606.7270833,669,3500,4500,145.6351938,,FALSE,,14556,1
1742103,2012/09/21 06:53,513,21-Sep-12,8,7280208,606.684,474,3500,4500,154.6661683,,FALSE,,14557,1
