Id,UTC,UTCMilliseconds,PCLocalTime,channelMap,startSample,startSeconds,duration,lowFreq,highFreq,amplitude,detectionType,bearingAmbiguity,bearing0,ClickNumber,SpeciesCode
1590074,2012/08/11 09:04,926,11-Aug-12,2,7217813,601.4844167,707,3500,4500,152.8500135,,FALSE,,14084,1
1590060,2012/08/11 09:04,120,11-Aug-12,2,7208138,600.6781667,973,3500,4500,145.9273811,,FALSE,,14070,1
1590078,2012/08/11 09:04,937,11-Aug-12,32,7217944,601.4953333,495,3500,4500,141.2364232,,FALSE,,14088,1
1590077,2012/08/11 09:04,907,11-Aug-12,32,7217582,601.4651667,504,3500,4500,142.9003555,,FALSE,,14087,1
1590075,2012/08/11 09:04,912,11-Aug-12,4,7217647,601.4705833,729,3500,4500,155.5313358,,FALSE,,14085,1
1590073,2012/08/11 09:04,896,11-Aug-12,2,7217451,601.45425,565,3500,4500,153.7253775,,FALSE,,14083,1
1590072,2012/08/11 09:04,927,11-Aug-12,1,7217827,601.4855833,597,3500,4500,148.8182726,,FALSE,,14082,1
1590071,2012/08/11 09:04,897,11-Aug-12,1,7217467,601.4555833,561,3500,4500,149.8438001,,FALSE,,14081,1
1590070,2012/08/11 09:04,890,11-Aug-12,16,7217378,601.4481667,533,3500,4500,144.7291774,,FALSE,,14080,1
1590061,2012/08/11 09:04,334,11-Aug-12,2,7210711,600.8925833,499,3500,4500,144.9916254,,FALSE,,14071,1
1590068,2012/08/11 09:04,882,11-Aug-12,4,7217287,601.4405833,579,3500,4500,155.5313358,,FALSE,,14078,1
1590067,2012/08/11 09:04,598,11-Aug-12,16,7213874,601.1561667,484,3500,4500,144.0200873,,FALSE,,14077,1
1590066,2012/08/11 09:04,575,11-Aug-12,4,7213596,601.133,683,3500,4500,144.4181958,,FALSE,,14076,1
1590065,2012/08/11 09:04,539,11-Aug-12,2,7213164,601.097,890,3500,4500,144.1302416,,FALSE,,14075,1
1590064,2012/08/11 09:04,390,11-Aug-12,32,7211381,600.9484167,478,3500,4500,139.3974761,,FALSE,,14074,1
1590063,2012/08/11 09:04,360,11-Aug-12,4,7211021,600.9184167,464,3500,4500,142.8380821,,FALSE,,14073,1
1590062,2012/08/11 09:04,355,11-Aug-12,2,7210957,600.9130833,719,3500,4500,144.9916254,,FALSE,,14072,1
1590069,2012/08/11 09:04,881,11-Aug-12,8,7217276,601.4396667,507,3500,4500,156.1778061,,FALSE,,14079,1
1590076,2012/08/11 09:04,920,11-Aug-12,16,7217741,601.4784167,493,3500,4500,144.7291774,,FALSE,,14086,1
1590114,2012/08/11 09:04,638,11-Aug-12,32,7226351,602.1959167,758,3500,4500,142.6431513,,FALSE,,14124,1
1590113,2012/08/11 09:04,645,11-Aug-12,16,7226442,602.2035,477,3500,4500,145.3431604,,FALSE,,14123,1
1590112,2012/08/11 09:04,623,11-Aug-12,16,7226172,602.181,502,3500,4500,149.1223326,,FALSE,,14122,1
1590111,2012/08/11 09:04,614,11-Aug-12,8,7226069,602.1724167,888,3500,4500,165.8408147,,FALSE,,14121,1
1590110,2012/08/11 09:04,624,11-Aug-12,4,7226191,602.1825833,888,3500,4500,156.2114663,,FALSE,,14120,1
1590109,2012/08/11 09:04,632,11-Aug-12,1,7226289,602.19075,584,3500,4500,147.1775655,,FALSE,,14119,1
1590108,2012/08/11 09:04,553,11-Aug-12,32,7225337,602.1114167,1024,3500,4500,155.7967386,,FALSE,,14118,1
1590107,2012/08/11 09:04,541,11-Aug-12,16,7225188,602.099,1024,3500,4500,158.2879731,,FALSE,,14117,1
1590105,2012/08/11 09:04,568,11-Aug-12,4,7225520,602.1266667,693,3500,4500,150.4690018,,FALSE,,14115,1
1590115,2012/08/11 09:04,738,11-Aug-12,1,7227552,602.296,970,3500,4500,149.2271222,,FALSE,,14125,1
1590128,2012/08/11 09:04,860,11-Aug-12,32,7229021,602.4184167,998,3500,4500,154.4886089,,FALSE,,14138,1
1590106,2012/08/11 09:04,534,11-Aug-12,8,7225104,602.092,1024,3500,4500,169.5747775,,FALSE,,14116,1
1590116,2012/08/11 09:04,721,11-Aug-12,2,7227353,602.2794167,1024,3500,4500,157.1473525,,FALSE,,14126,1
1590118,2012/08/11 09:04,753,11-Aug-12,32,7227730,602.3108333,1015,3500,4500,143.5305035,,FALSE,,14128,1
1590120,2012/08/11 09:04,863,11-Aug-12,2,7229058,602.4215,755,3500,4500,145.5448572,,FALSE,,14130,1
1590121,2012/08/11 09:04,850,11-Aug-12,4,7228895,602.4079167,734,3500,4500,147.965406,,FALSE,,14131,1
1590122,2012/08/11 09:04,841,11-Aug-12,8,7228788,602.399,989,3500,4500,169.3439541,,FALSE,,14132,1
1590123,2012/08/11 09:04,848,11-Aug-12,16,7228872,602.406,992,3500,4500,157.2763659,,FALSE,,14133,1
1590124,2012/08/11 09:04,951,11-Aug-12,1,7230112,602.5093333,795,3500,4500,147.4255842,,FALSE,,14134,1
1590125,2012/08/11 09:04,963,11-Aug-12,2,7230254,602.5211667,724,3500,4500,142.5591904,,FALSE,,14135,1
1590104,2012/08/11 09:04,543,11-Aug-12,4,7225210,602.1008333,504,3500,4500,150.6463946,,FALSE,,14114,1
1590127,2012/08/11 09:04,934,11-Aug-12,16,7229902,602.4918333,1024,3500,4500,153.6256201,,FALSE,,14137,1
1590117,2012/08/11 09:04,722,11-Aug-12,4,7227363,602.28025,1024,3500,4500,152.3207613,,FALSE,,14127,1
1590129,2012/08/11 09:04,946,11-Aug-12,32,7230047,602.5039167,1024,3500,4500,149.1928794,,FALSE,,14139,1
1590126,2012/08/11 09:04,953,11-Aug-12,4,7230139,602.5115833,467,3500,4500,143.5328156,,FALSE,,14136,1
1590086,2012/08/11 09:04,267,11-Aug-12,16,7221903,601.82525,871,3500,4500,151.418813,,FALSE,,14096,1
1590119,2012/08/11 09:04,853,11-Aug-12,1,7228937,602.4114167,994,3500,4500,157.2701597,,FALSE,,14129,1
1590103,2012/08/11 09:04,579,11-Aug-12,2,7225646,602.1371667,733,3500,4500,145.7899355,,FALSE,,14113,1
1590080,2012/08/11 09:04,67,11-Aug-12,2,7219505,601.6254167,1024,3500,4500,154.2513639,,FALSE,,14090,1
1590081,2012/08/11 09:04,53,11-Aug-12,4,7219340,601.6116667,1024,3500,4500,161.8135289,,FALSE,,14091,1
1590082,2012/08/11 09:04,53,11-Aug-12,8,7219332,601.611,1024,3500,4500,181.8156208,,FALSE,,14092,1
1590083,2012/08/11 09:04,63,11-Aug-12,16,7219460,601.6216667,1024,3500,4500,151.8295263,,FALSE,,14093,1
1590085,2012/08/11 09:04,258,11-Aug-12,8,7221793,601.8160833,917,3500,4500,165.8914074,,FALSE,,14095,1
1590087,2012/08/11 09:04,279,11-Aug-12,1,7222044,601.837,872,3500,4500,147.9220379,,FALSE,,14097,1
1590088,2012/08/11 09:04,274,11-Aug-12,2,7221983,601.8319167,933,3500,4500,152.7010584,,FALSE,,14098,1
1590089,2012/08/11 09:04,260,11-Aug-12,4,7221819,601.81825,1024,3500,4500,160.0371729,,FALSE,,14099,1
1590090,2012/08/11 09:04,360,11-Aug-12,4,7223015,601.9179167,861,3500,4500,147.1448407,,FALSE,,14100,1
1590079,2012/08/11 09:04,68,11-Aug-12,1,7219512,601.626,1024,3500,4500,158.495784,,FALSE,,14089,1
1590102,2012/08/11 09:04,553,11-Aug-12,2,7225336,602.1113333,551,3500,4500,146.3613504,,FALSE,,14112,1
1590101,2012/08/11 09:04,572,11-Aug-12,1,7225564,602.1303333,796,3500,4500,158.27581,,FALSE,,14111,1
1590084,2012/08/11 09:04,78,11-Aug-12,32,7219633,601.6360833,1024,3500,4500,147.8528205,,FALSE,,14094,1
1590091,2012/08/11 09:04,282,11-Aug-12,32,7222089,601.84075,894,3500,4500,143.46773,,FALSE,,14101,1
1590100,2012/08/11 09:04,546,11-Aug-12,1,7225253,602.1044167,557,3500,4500,158.6372086,,FALSE,,14110,1
1590099,2012/08/11 09:04,380,11-Aug-12,32,7223254,601.9378333,1024,3500,4500,143.9109722,,FALSE,,14109,1
1590097,2012/08/11 09:04,364,11-Aug-12,16,7223068,601.9223333,987,3500,4500,151.102525,,FALSE,,14107,1
1590096,2012/08/11 09:04,353,11-Aug-12,8,7222937,601.9114167,1024,3500,4500,181.2183894,,FALSE,,14106,1
1590095,2012/08/11 09:04,425,11-Aug-12,4,7223804,601.9836667,1024,3500,4500,158.9861067,,FALSE,,14105,1
1590094,2012/08/11 09:04,438,11-Aug-12,2,7223952,601.996,1024,3500,4500,150.3762864,,FALSE,,14104,1
1590093,2012/08/11 09:04,373,11-Aug-12,2,7223177,601.9314167,998,3500,4500,150.3762864,,FALSE,,14103,1
1590092,2012/08/11 09:04,372,11-Aug-12,1,7223162,601.9301667,1024,3500,4500,154.9651161,,FALSE,,14102,1
1590098,2012/08/11 09:04,427,11-Aug-12,16,7223826,601.9855,900,3500,4500,149.4709524,,FALSE,,14108,1
1590157,2012/08/11 09:04,983,11-Aug-12,16,7242499,603.5415833,461,3500,4500,144.0557771,,FALSE,,14167,1
1590147,2012/08/11 09:04,612,11-Aug-12,32,7238038,603.1698333,506,3500,4500,142.0112927,,FALSE,,14157,1
1590150,2012/08/11 09:04,670,11-Aug-12,2,7238742,603.2285,959,3500,4500,149.4647089,,FALSE,,14160,1
1590148,2012/08/11 09:04,636,11-Aug-12,32,7238331,603.19425,475,3500,4500,140.1099788,,FALSE,,14158,1
