Id,UTC,UTCMilliseconds,PCLocalTime,channelMap,startSample,startSeconds,duration,lowFreq,highFreq,amplitude,detectionType,bearingAmbiguity,bearing0,ClickNumber,SpeciesCode
983995,2012/07/04 16:30,332,04-Jul-12,2,7200180,600.015,864,3500,4500,148.2004806,,FALSE,,13473,1
984015,2012/07/04 16:30,991,04-Jul-12,8,7208090,600.6741667,1024,3500,4500,176.1175334,,FALSE,,13493,1
984014,2012/07/04 16:30,990,04-Jul-12,4,7208074,600.6728333,1024,3500,4500,162.1813238,,FALSE,,13492,1
984011,2012/07/04 16:30,615,04-Jul-12,32,7203584,600.2986667,1024,3500,4500,151.1286874,,FALSE,,13489,1
984010,2012/07/04 16:30,537,04-Jul-12,32,7202648,600.2206667,976,3500,4500,160.4632421,,FALSE,,13488,1
984009,2012/07/04 16:30,639,04-Jul-12,16,7203869,600.3224167,547,3500,4500,146.9485071,,FALSE,,13487,1
984008,2012/07/04 16:30,603,04-Jul-12,16,7203437,600.2864167,682,3500,4500,152.7262604,,FALSE,,13486,1
984007,2012/07/04 16:30,590,04-Jul-12,8,7203278,600.2731667,1024,3500,4500,176.2820532,,FALSE,,13485,1
984005,2012/07/04 16:30,607,04-Jul-12,2,7203488,600.2906667,1024,3500,4500,155.3501693,,FALSE,,13483,1
984004,2012/07/04 16:30,606,04-Jul-12,1,7203477,600.28975,1024,3500,4500,153.5375394,,FALSE,,13482,1
984003,2012/07/04 16:30,541,04-Jul-12,1,7202687,600.2239167,947,3500,4500,154.5270563,,FALSE,,13481,1
984002,2012/07/04 16:30,524,04-Jul-12,16,7202490,600.2075,999,3500,4500,170.7758539,,FALSE,,13480,1
984001,2012/07/04 16:30,572,04-Jul-12,2,7203069,600.25575,466,3500,4500,145.5075517,,FALSE,,13479,1
984000,2012/07/04 16:30,554,04-Jul-12,2,7202845,600.2370833,476,3500,4500,145.5075517,,FALSE,,13478,1
984006,2012/07/04 16:30,595,04-Jul-12,4,7203343,600.2785833,1024,3500,4500,162.6130793,,FALSE,,13484,1
984037,2012/07/04 16:30,933,04-Jul-12,8,7219398,601.6165,1024,3500,4500,167.0650828,,FALSE,,13515,1
984028,2012/07/04 16:30,695,04-Jul-12,16,7216538,601.3781667,938,3500,4500,151.7530364,,FALSE,,13506,1
984029,2012/07/04 16:30,706,04-Jul-12,32,7216674,601.3895,943,3500,4500,148.7125719,,FALSE,,13507,1
984030,2012/07/04 16:30,952,04-Jul-12,1,7219625,601.6354167,533,3500,4500,148.1341979,,FALSE,,13508,1
984031,2012/07/04 16:30,954,04-Jul-12,2,7219645,601.6370833,532,3500,4500,146.1837491,,FALSE,,13509,1
984032,2012/07/04 16:30,945,04-Jul-12,16,7219539,601.62825,534,3500,4500,147.7745877,,FALSE,,13510,1
984033,2012/07/04 16:30,968,04-Jul-12,16,7219821,601.65175,487,3500,4500,146.9315541,,FALSE,,13511,1
984034,2012/07/04 16:30,976,04-Jul-12,1,7219906,601.6588333,896,3500,4500,147.274409,,FALSE,,13512,1
984038,2012/07/04 16:30,959,04-Jul-12,32,7219711,601.6425833,1013,3500,4500,144.7692225,,FALSE,,13516,1
984036,2012/07/04 16:30,940,04-Jul-12,4,7219481,601.6234167,1024,3500,4500,150.3453856,,FALSE,,13514,1
984027,2012/07/04 16:30,745,04-Jul-12,8,7217142,601.4285,513,3500,4500,156.777302,,FALSE,,13505,1
984023,2012/07/04 16:30,711,04-Jul-12,1,7216733,601.3944167,1024,3500,4500,146.9390515,,FALSE,,13501,1
984035,2012/07/04 16:30,977,04-Jul-12,2,7219927,601.6605833,707,3500,4500,144.9495635,,FALSE,,13513,1
